Year,Advertising,Other,Revenue
201701,7857.00,175.00,8032.00
201702,9164.00,157.00,9321.00
201703,10142.00,186.00,10328.00
201704,12779.00,193.00,12972.00
201801,11795.00,171.00,11966.00
201802,13038.00,193.00,13231.00
201803,13539.00,188.00,13727.00
201804,16640.00,274.00,16914.00
201901,14912.00,165.00,15077.00
201902,16624.00,262.00,16886.00
201903,17383.00,269.00,17652.00
201904,20736.00,346.00,21082.00
202001,17440.00,297.00,17737.00
202002,18321.00,366.00,18687.00
202003,21221.00,249.00,21470.00
202004,27187.00,885.00,28072.00
202101,25439.00,732.00,26171.00
202102,28580.00,497.00,29077.00
202103,28276.00,734.00,29010.00
202104,32639.00,1032.00,33671.00
202201,26998.00,910.00,27908.00
202202,28152.00,670.00,28822.00
202203,27237.00,477.00,27714.00
202204,31255.00,910.00,32165.00
202301,28101.00,544.00,28645.00
202302,31498.00,510.00,32008.00
202303,33643.00,503.00,34146.00
202304,38706.00,1397.00,40103.00
