Year,DX,DS,MX,Revenue
20171,10.34,22.85,23.50,50.55
20172,10.92,25.25,30.01,61.00
20173,11.13,28.02,27.69,62.05
20174,12.72,32.05,25.47,65.98
20181,9.74,28.54,28.45,60.56
20182,10.40,27.70,24.00,58.48
20183,10.18,34.76,24.91,65.46
20184,11.79,27.76,23.32,59.27
20191,10.04,20.62,27.20,52.39
20192,11.07,23.53,25.86,56.13
20193,10.93,26.64,29.25,62.00
20194,12.71,24.74,24.95,59.88
20201,10.30,24.13,26.00,55.33
20202,10.17,25.05,20.75,52.97
20203,14.09,25.93,30.49,66.96
20204,13.61,27.92,22.34,61.55
20211,12.99,25.82,29.21,65.39
20212,13.40,29.46,22.67,63.67
20213,14.10,35.09,28.42,73.98
20214,15.35,34.72,28.95,76.57
20221,77.78,26.87,31.23,77.78
20222,44.46,28.50,28.00,77.20
20223,47.26,23.02,30.92,76.78
20224,42.71,20.07,25.28,70.46
20231,46.22,13.73,30.74,63.75
20232,40.21,14.73,24.61,60.01
20233,44.02,16.44,29.25,67.40
20234,39.55,21.69,24.03,67.78
